419323唯一合格女   06 999999901    170421190939192356000100067    2 10000176010201011                                                                                                                                                                    0101010201010101010096030304040403019796979503079908033205030390699920604990167999999999999999999999999999999999999329902010101
419331唯一合格男    2 999999901    170421191022192430000100077    2 10000148010101011                                                                                                                                                                    0101019603020102960301049702020402010302030202210199015405020230299999901020365999999999999999999999999999999990399999901010101
419342最年輕的女   05 999999901    170423213702215935000104302013 2 10000178010301032                                                                                                                                                                    0196020202020101020596030202020303030398039306010299025704020260299999903010409999999999902999999999999999999999999999902010101
419345最年輕的女   03 999999901    170424211452213109000104302013 2 10000178010402041                                                                                                                                                                    0197030202020298980201040297030302989601969506079908016304020260299999902010468999999999999999999999999999999999999991002010101
419354唯一合格女  042 999999901    170421191216192657000104405206 2 10000068010201011                                                                                                                                                                    0102020296020203020501030203030301020302019306969908027104020230299999908010866999999999999999999999999999999999917999902010101
419364唯一合格女   06 999999901    170421191308192412000104504051 2 10000174010201011                                                                                                                                                                    0101030302020203030401030302010302030202010205020299015706020230199999901010567999999999999999999999999999999999999019902010101
419365最年輕的男   03 999999901    170421204019204818000200238    2 10001094010302031                                                                                                                                                                    0102020101010102010001020102010101010202019302079908016606020260299999902010402069999999999999999999999999999999999999901010101
419377唯一合格男   03 999999901    170421213524214832000100086    1 10000192010201011                                                                                                                                                                    0102020202020103020601020201010302010301030305079908025005030260299999903010402029999999999999999999999999999999999999901010101
419380最年輕的女   03 999999901    170421212302213416000200238    2 10001094010503051                                                                                                                                                                    0102010302010101010501010103030203030301029506010299015203020290160299902010205999906999999999999999999999999999999999902010101
419386唯一合格女   03 999999901    170421191544194051000105504008 1 20000040010100011                                                                                                                                                                    0298989898989898989801010101969898980398989305010299012303030391199999902010118999999999999999999999999029999999999999902010101
419395唯一合格女   04 999999901    170424211341212308000105207310 2 10000076010201011                                                                                                                                                                    0101030203020202030702030103040403030201049305020299027106020210599999901010807999999149999999999999999999999999999999902010101
419458唯一合格女   05 999999901    170423185115190227000100080    1 10000203010201011                                                                                                                                                                    0101030103030303980501040203030403040302049305079908016105020230299999908010520999999999999999999999999990299999999999902010101
419470唯一合格女   03 999999901    170424210919211935000105252010 1 10000060010302011                                                                                                                                                                    0101030202020102020601030304040401020302030203020299035605030210499999901010968999999999999999999999999999999999999991002010101
419481最年長的女   03 999999901    170421192210193253000100086    1 10000192010402012                                                                                                                                                                    0101020303030103030602040303030303030302019306010299018106020230299999901010468999999999999999999999999999999999999990602010101
419515最年長的女    2 999999901    170421192428194415000100080    1 10000203010401012                                                                                                                                                                    0197020101020298020501020201010103030301010106010299024106030390130299998010865999999999999999999999999999999990699999902010101
419521最年長的女  042 999999901    170421210838212248000200238    2 10001094010402012                                                                                                                                                                    0101020202030102030301970202020302010396030205079908014505020210599999903010266999999999999999999999999999999999911999902010101
419530最年長的男   03 999999901    170424210735211618000200238    2 10001094010603012                                                                                                                                                                    0102040403040203030202010101010402010302020202020199014404010110699999903011068999999999999999999999999999999999999990201010101
419531最年輕的女   05 999999901    170424210736211901000100095    2 10000090010200021                                                                                                                                                                    0102020202010202020701040404040201040202030205079996016506020230299999901020310999999999999089999999999999999999999999902010101
419564最年輕的男   03 999999901    170421192758194447000104504051 2 10000174010804081                                                                                                                                                                    0101020202020203020396010101010203960301020101010299028006040430299999905990304990799999999999999999999999999999999999901010101
419573唯一合格女   07 999999901    170421211530212652000200349    1 10000115010302012                                                                                                                                                                    0102020303030202960301040402030403010301030204020199015004020290160299902010164999999999999999999999999999999099999999902010101
419574唯一合格男  042 999999901    170421192853194056000105207310 2 10000076010201011                                                                                                                                                                    0101010101010101010301020301010101049696019303010299024505010290699980102021066999999999999999999999999999999999901999901010101
419576唯一合格女   07 999999901    170421192853193900000100077    2 10000148010403011                                                                                                                                                                    0101010102010102010001030201030101040301040303010199025304020210499999901011064999999999999999999999999999999089999999902010101
419578最年輕的女   05 999999901    170421210802212248000104405206 2 10000068010402041                                                                                                                                                                    0101020202970302020401030303030402020398029104079908018006020230299999901010509999999999907999999999999999999999999999902010101
419581唯一合格男   04 999999901    170421193026194533000104405206 2 10000068010301011                                                                                                                                                                    0297010101010102010098010101010101040198980105010199984102030310699999901010407999999269999999999999999999999999999999901040101
419599唯一合格女   07 999999901    170421193313194555000104506004 2 30000004010100011                                                                                                                                                                    0101020303040302030001030404040402030302030206020299026106020260299999901010364999999999999999999999999999999059999999902010101
419617最年輕的男  042 999999901    170421211848213045000100067    2 10000176010403042                                                                                                                                                                    0102030202020201020101020103030403030302049301079908027507020121499999901020966999999999999999999999999999999999913999901010101
419619唯一合格男  042 999999901    170425204044210036000105207310 2 10000076010101011                                                                                                                                                                    0101020202030202030402020201010402030302019506959995015205020291199999903019866999999999999999999999999999999999909999901010101
419639唯一合格女    2 999999901    170421193949195410000104203060 2 30000012010201011                                                                                                                                                                    0101020202960302020301040404040402010302010204210199015805020230299999901010865999999999999999999999999999999991199999902010101
419658唯一合格男    2 999999901    170421212917214033000100077    2 10000148010201012                                                                                                                                                                    0101039602020202030501010101010402010302030205020299014103020240199999903019665999999999999999999999999999999990799999901010101
419672唯一合格女   08 999999901    170421194346200359000200349    1 10000115010201011                                                                                                                                                                    0196020298020195020698040398960203049698020197010199014904020290230299902010314999999999999999901999999999999999999999902010101
